Title,Price,Store,Condition,Image
Used TC Electronic Polytune 3 Tuner Tuner Pedal,$52.99,"North Houston, TX",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121017224-00-264x264.jpg
Used Coolmusic REVERBERRY Effect Processor,$39.99,"Orange, CT",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121024789-00-264x264.jpg
Used MXR MICRO FLANGER Effect Pedal,$79.99,"Orange, CT",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121024788-00-264x264.jpg
Used 2007 Marshall MG10CD 1X6.5 10W Guitar Combo Amp,$74.99,"Orange, CT",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121024787-00-264x264.jpg
Used Morley 1976 Wah-Volume Effect Pedal,$149.99,"Independence, MO",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121025613-00-264x264.jpg
Used BOSS 1990s MIJ DS1 Effect Pedal,$109.99,"Independence, MO",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121025612-00-264x264.jpg
Used Electro-Harmonix 1980 Big Muff Pi Effect Pedal,$399.99,"Independence, MO",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121025611-00-264x264.jpg
Used MXR 1982 SIX BAND EQ Pedal,$164.99,"Independence, MO",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121025610-00-264x264.jpg
Used Marshall DSL40C 40W 1x12 Tube Guitar Combo Amp,$499.99,"Fredericksburg, VA",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121021546-00-264x264.jpg
Used Electro-Harmonix nano mono syhth Pedal,$91.99,"Tulsa, OK",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121017205-00-264x264.jpg
Used Electro-Harmonix Big Muff Nano Bass Distortion Bass Effect Pedal,$56.99,"Tulsa, OK",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121017203-00-264x264.jpg
Used Digitech Drop Effect Pedal,$159.99,"Tulsa, OK",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121017204-00-264x264.jpg
Used DigiTech The Drop Polyphonic Drop Tune Pitch-Shifter Effect Pedal,$169.99,"Tulsa, OK",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121017199-00-264x264.jpg
Used MXR M108 10 Band EQ Pedal,$94.99,"Tulsa, OK",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121017197-00-264x264.jpg
Used Isp Technologies Decimator G String Noise Reduction Effect Pedal,$134.99,"Tulsa, OK",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121017195-00-264x264.jpg
Used TC Electronic Nether Octaver Effect Pedal,$29.99,"NW Tucson, AZ",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121009437-00-264x264.jpg
Used Walrus Audio MELEE Effect Pedal,$199.99,"NW Tucson, AZ",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121009434-00-264x264.jpg
Used Way Huge Electronics WHE401 Swollen Pickle MKII Super Jumbo Fuzz Effect Pedal,$79.99,"NW Tucson, AZ",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121009433-00-264x264.jpg
Used Universal Audio Knuckles '92 Rev F Dual Rec Effect Processor,$299.99,"Maple Grove, MN",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025600-00-264x264.jpg
Used EarthQuaker Devices spires Effect Pedal,$174.99,"Fairfax, VA",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121021543-00-264x264.jpg
Used TC Electronic BG250 115 250W 1x15 Bass Combo Amp,$214.99,"Youngstown, OH",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121024763-00-264x264.jpg
Used Line 6 Bass PodXT Pro Bass Amp Head,$199.99,"South Austin, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121017173-00-264x264.jpg
Used Behringer ULTRATONE K3000FX Keyboard Amp,$224.99,"Cedar Hill, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121017169-00-264x264.jpg
Used VOX V847 Reissue Wah Effect Pedal,$79.99,"Dallas, TX",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121017166-00-264x264.jpg
Used ProCo Rat Distortion Effect Pedal,$64.99,"Dallas, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121017165-00-264x264.jpg
Used BOSS DS1 Distortion Effect Pedal,$39.99,"Warwick, RI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024756-00-264x264.jpg
Used Ibanez IBZ10G Tone Blaster 1X6.5 10W Guitar Combo Amp,$43.99,"NW Tucson, AZ",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121007439-00-264x264.jpg
Used ALEMBIC F-1X Tube Bass Preamp,"$1,199.99","Warwick, RI",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024754-00-264x264.jpg
Used Peavey rage 258 Guitar Combo Amp,$87.99,"Appleton, WI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025570-00-264x264.jpg
Used Marshall DSL20CR 20W 1x12 Tube Guitar Combo Amp,$499.99,"Braintree, MA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024745-00-264x264.jpg
Used VOX V847 Reissue Wah Effect Pedal,$59.99,"Hagerstown, MD",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121021516-00-264x264.jpg
Used Dunlop JBF3 Joe Bonamassa 2012 Limited Edition Fuzz Face Effect Pedal,$335.99,"Hagerstown, MD",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121021515-00-264x264.jpg
Used MXR M116 Fullbore Metal Distortion Effect Pedal,$45.99,"Hagerstown, MD",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121021514-00-264x264.jpg
Used EarthQuaker Devices Arrows Preamp Booster Effect Pedal,$79.99,"Twin Cities, MN",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025569-00-264x264.jpg
Used Fender 68 Pro Reverb  Tube Guitar Combo Amp,"$1,009.99","Richmond, VA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121021511-00-264x264.jpg
Used Universal Audio Ox Box Power Attenuator,$999.99,"North Charlotte, NC",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121015431-00-264x264.jpg
Used Orange Amplifiers MT20 Micro Terror 20W Tube Guitar Amp Head,$99.99,"Cool Springs, TN",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121015429-00-264x264.jpg
Used Orange Amplifiers PPC108 Guitar Cabinet,$59.99,"Cool Springs, TN",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121015428-00-264x264.jpg
Used Eventide H9 MAX Stereo Delay Effect Pedal,$349.99,"Goodlettsville, TN",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121015411-00-264x264.jpg
