Title,Price,Store,Condition,Image
Used MESA/Boogie Mark V Thirty Five 1x12 Tube Guitar Combo Amp,"$1,599.99","Central Houston, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121017140-00-264x264.jpg
Used Dunlop GCB95 Original Crybaby Wah Effect Pedal,$64.99,"Lewisville, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014440-00-264x264.jpg
Used JHS Pedals Little Black Amp Box Pedal,$34.99,"Maple Grove, MN",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121025535-00-264x264.jpg
Used 2010s Line 6 Spider III 75 1x12 75W Guitar Combo Amp,$174.99,"Independence, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025531-00-264x264.jpg
Used TC Electronic Polytune 3 Tuner Tuner Pedal,$72.99,"Tulsa, OK",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014429-00-264x264.jpg
Used Electro-Harmonix Canyon Delay and Looper Effect Pedal,$109.99,"Nashville, TN",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121015377-00-264x264.jpg
Used Line 6 Spider III 15 1X8 15W Guitar Combo Amp,$69.99,"South Springfield, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025528-00-264x264.jpg
Used BOSS Katana KTN100 100W 1X12 Guitar Combo Amp,$299.99,"Warwick, RI",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024695-00-264x264.jpg
Used TC Electronic Mojomojo Overdrive Effect Pedal,$46.99,"Independence, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025504-00-264x264.jpg
Used Keeley 4 Knob Compressor Effect Pedal,$114.99,"Independence, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025503-00-264x264.jpg
Used Catalinbread Naga Viper Effect Pedal,$89.99,"Independence, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025501-00-264x264.jpg
Used Electro-Harmonix Octavix Fuzz Effect Pedal,$78.99,"Independence, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025500-00-264x264.jpg
Used MXR Uni-Vibe Effect Pedal,$89.99,"Independence, MO",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121025499-00-264x264.jpg
Used Electro-Harmonix Micro Pog Polyphonic Octave Generator Effect Pedal,$154.99,"Independence, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025498-00-264x264.jpg
Used Fender Champion 100 Guitar Combo Amp,$299.99,"Appleton, WI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025496-00-264x264.jpg
Used EVH 5150 ICONIC 15W Tube Guitar Combo Amp,$599.99,"Plano, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014389-00-264x264.jpg
Used Fender Rumble 25 25W 1x8 Bass Combo Amp,$94.99,"Dallas, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014377-00-264x264.jpg
Used Livewire ABY1 Switcher Pedal,$29.99,"Nashville, TN",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121012854-00-264x264.jpg
Used DigiTech RP55 Effect Processor,$19.99,"Nashville, TN",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012853-00-264x264.jpg
Used JHS Pedals KODIAK Effect Pedal,$99.99,"Winston-Salem, NC",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121012846-00-264x264.jpg
Used ProCo Rat Distortion Effect Pedal,$66.99,"Winston-Salem, NC",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012844-00-264x264.jpg
Used ProCo Rat Distortion Effect Pedal,$69.99,"N. Olmsted, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024689-00-264x264.jpg
Used Ibanez tbx150h Solid State Guitar Amp Head,$329.99,"N. Olmsted, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024688-00-264x264.jpg
Used Ammoon POCK LOOP Pedal,$24.99,"South Springfield, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025484-00-264x264.jpg
Used Strymon Ola dBucket Chorus and Vibrato Effect Pedal,$194.99,"Cedar Hill, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014367-00-264x264.jpg
Used Strymon Bluesky Reverb Effect Pedal,$259.99,"Cedar Hill, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014366-00-264x264.jpg
Used BOSS MD2 Mega Distortion Effect Pedal,$55.99,"Alpharetta, GA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012839-00-264x264.jpg
Used Yamaha THR10X 10W Extreme High Gain Modeling Guitar Combo Amp,$179.99,"Portsmouth, NH",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024673-00-264x264.jpg
Used Fender Mustang LT25 25W 1x8 Guitar Combo Amp,$129.99,"Allen Park, MI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025477-00-264x264.jpg
Used MXR M101 Phase 90 Effect Pedal,$57.99,"Southington, CT",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024669-00-264x264.jpg
Used HeadRush GIGBOARD Effect Processor,$299.99,"Twin Cities, MN",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121025474-00-264x264.jpg
Used Peavey Triple XXX 4x12 SLANTED Guitar Cabinet,$234.99,"Lancaster, PA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121021441-00-264x264.jpg
Used Marshall JCM900 100W Tube Guitar Amp Head,$999.99,"Twin Cities, MN",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025463-00-264x264.jpg
Used Universal Audio UAFX DREAM '65 Guitar Preamp,$249.99,"Dallas, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014352-00-264x264.jpg
Used Fender Acoustasonic 15 Acoustic Guitar Combo Amp,$99.99,"Cary, NC",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012806-00-264x264.jpg
Used Fender Deluxe VM 40W 1x12 Tube Guitar Combo Amp,$449.99,"Allen Park, MI",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121025444-00-264x264.jpg
Used Line 6 Spider III 75 1x12 75W Guitar Combo Amp,$94.99,"Tulsa, OK",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121014349-00-264x264.jpg
Used Danelectro DJ5 Tuna Melt Tremolo Effect Pedal,$29.99,"N. Olmsted, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024636-00-264x264.jpg
Used Electro-Harmonix Big Muff Distortion Effect Pedal,$74.99,"N. Olmsted, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024635-00-264x264.jpg
Used MXR M102 Dyna Comp Effect Pedal,$64.99,"N. Olmsted, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024634-00-264x264.jpg
Used Fender tonemaster deluxe reverb Guitar Combo Amp,$849.99,"Overland Park, KS",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014342-00-264x264.jpg
Used Walrus Audio MAKO SERIES M1 High-Fidelity Modulation Machine MKII Blue Effect Pedal,$199.99,"Oxford Valley, PA",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121019172-00-264x264.jpg
Used Yamaha GA10 Guitar Combo Amp,$34.99,"Columbia, SC",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012797-00-264x264.jpg
Used BOSS IR-2 Pedal,$149.99,"North Houston, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014336-00-264x264.jpg
Used Source Audio Collider Effect Pedal,$199.99,"North Houston, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014335-00-264x264.jpg
Used Jackson Audio Broken arrow Effect Pedal,$119.99,"North Houston, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014334-00-264x264.jpg
Used BOSS MD500 Effect Pedal,$199.99,"North Houston, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014333-00-264x264.jpg
Used BOSS ME70 Guitar Multi Effect Processor,$169.99,"Springfield, NJ",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121019166-00-264x264.jpg
Used Fender Frontman 212R 100W 2x12 Guitar Combo Amp,$209.99,"Springfield, NJ",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121019164-00-264x264.jpg
Used Blackstar HT Club 40 Venue 40W 1x12 Tube Guitar Combo Amp,$359.99,"Springfield, NJ",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121019163-00-264x264.jpg
Used Bugera V22 22W 1x12 Tube Guitar Combo Amp,$299.99,"Springfield, NJ",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121019165-00-264x264.jpg
Used J.Rockett Audio Designs MELODY Pedal,$149.99,"Denton, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014331-00-264x264.jpg
Used Xotic BB Preamp Overdrive Effect Pedal,$98.99,"Denton, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014330-00-264x264.jpg
Used Strymon Bluesky Reverb Effect Pedal,$229.99,"Denton, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014329-00-264x264.jpg
Used Ibanez ACA15 Acoustic Guitar Combo Amp,$49.99,"Plymouth Meeting, PA",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121019156-00-264x264.jpg
Vintage 1977 MESA/Boogie Mark I Tube Guitar Combo Amp,"$1,499.99","Warwick, RI",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024618-00-264x264.jpg
Used Victoria 518 Tube Guitar Combo Amp,"$1,299.99","Dayton, OH",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121024613-00-264x264.jpg
Used BOSS RC50 Loop Station Pedal,$169.99,"Cary, NC",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121012771-00-264x264.jpg
Used Fender Rumble 410 4x10 Bass Cabinet,$229.99,"Crestwood, MO",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121025399-00-264x264.jpg
Used BOSS SY300 Guitar Synthesizer Effect Pedal,$469.99,"Williston, VT",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024612-00-264x264.jpg
Used Line 6 Pod X3 Pro Solid State Guitar Amp Head,$299.99,"Dayton, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024610-00-264x264.jpg
Used MXR EVH90 Eddie Van Halen Phaser Effect Pedal,$99.99,"Bridgeton, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025396-00-264x264.jpg
Used Fender Blues Deluxe Reissue 40W 1x12 Tweed Tube Guitar Combo Amp,$429.99,"Hickory Corners, NC",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121012763-00-264x264.jpg
Used BOSS Katana 100 MKII Guitar Combo Amp,$309.99,"Warwick, RI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024607-00-264x264.jpg
Used BOSS RC5 Loop Station  Pedal,$119.99,"Warwick, RI",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024606-00-264x264.jpg
Used Joyo DYNA COMPRESSOR Effect Pedal,$23.99,"Toledo, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024605-00-264x264.jpg
Used MXR SUB OCTAVE FUZZ Bass Effect Pedal,$149.99,"Toledo, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024604-00-264x264.jpg
Used Orange Amplifiers TWO STROKE Pedal,$74.99,"Toledo, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024603-00-264x264.jpg
Used Electro-Harmonix Green Russian Big Muff Pi Fuzz Effect Pedal,$79.99,"Atlanta, GA",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121012760-00-264x264.jpg
Used Warm Audio WA-CV Effect Pedal,$119.99,"Atlanta, GA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012759-00-264x264.jpg
Used Dunlop CBM95 Cry Baby Mini Wah Effect Pedal,$69.99,"Atlanta, GA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012758-00-264x264.jpg
Used Xotic EP Booster Effect Pedal,$69.99,"Atlanta, GA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012757-00-264x264.jpg
Used Warm Audio WA-C1 Effect Pedal,$129.99,"Atlanta, GA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012756-00-264x264.jpg
Used Warm Audio WA-C1 Effect Pedal,$129.99,"Atlanta, GA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012755-00-264x264.jpg
Used Fender Tone Master Princeton Reverb Guitar Combo Amp,$779.99,"Flint, MI",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121025378-00-264x264.jpg
Used MESA/Boogie 4x12 4FB 280W Guitar Cabinet,$799.99,"N. Olmsted, OH",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024597-00-264x264.jpg
Used Ibanez TA35 Guitar Combo Amp,$119.99,"South Austin, TX",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121014305-00-264x264.jpg
Used Donner YELLOW FALL Effect Pedal,$20.99,"Overland Park, KS",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014296-00-264x264.jpg
Used EarthQuaker Devices Rainbow Machine Polyphonic Pitch Mesmerizer Effect Pedal,$154.99,"Austin, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014303-00-264x264.jpg
Used Boomerang III Phrase Sampler Pedal,$254.99,"Austin, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014302-00-264x264.jpg
Used EarthQuaker Devices Arpanoid Polyphonic Pitch Arpeggiator Effect Pedal,$124.99,"Austin, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014297-00-264x264.jpg
Used Crate MX10 Guitar Combo Amp,$39.99,"Oxford Valley, PA",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121019133-00-264x264.jpg
Used Positive Grid SPARK 40 Guitar Combo Amp,$189.99,"South Austin, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014270-00-264x264.jpg
Used Keeley eccos Pedal,$159.99,"N. Olmsted, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024593-00-264x264.jpg
Used Peavey TNT160 Bass Combo Amp,$199.99,"Atlantic City, NJ",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121019128-00-264x264.jpg
Used Ginean Modulator Effect Pedal,$14.99,"Flint, MI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025363-00-264x264.jpg
Used Sonicake Wavecrush Effect Pedal,$24.99,"Flint, MI",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121025361-00-264x264.jpg
Used TC Electronic Wiretap Pedal,$44.99,"Flint, MI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025359-00-264x264.jpg
Used BOSS Katana KTN-Head 100W Solid State Guitar Amp Head,$249.99,"Toledo, OH",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024586-00-264x264.jpg
Used Dunlop CB535 CRY BABY CHROME Effect Pedal,$134.99,"Winston-Salem, NC",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121012704-00-264x264.jpg
Used Acoustic B15 15W 1x10 Bass Combo Amp,$54.99,"Manchester, CT",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024559-00-264x264.jpg
Used Electro-Harmonix Big Muff Op-amp Effect Pedal,$56.99,"Manchester, CT",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024556-00-264x264.jpg
Used Zoom ZMS50G Multistomp Effect Processor,$57.99,"Manchester, CT",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024555-00-264x264.jpg
Used BOSS NS2 Noise Suppressor Effect Pedal,$73.99,"Manchester, CT",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024553-00-264x264.jpg
Used Xotic XW1 Effect Pedal,$164.99,"Manchester, CT",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024552-00-264x264.jpg
Used JHS Pedals Emperor Analog Chorus Vibrato with Tap Tempo Effect Pedal,$164.99,"Manchester, CT",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024550-00-264x264.jpg
Used Orange Amplifiers PPC108 Guitar Cabinet,$79.99,"Willowbrook, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014237-00-264x264.jpg
Used Orange Amplifiers MT20 Micro Terror 20W Tube Guitar Amp Head,$129.99,"Willowbrook, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014236-00-264x264.jpg
Used Aguilar AG Preamp Bass Preamp,$199.99,"Hickory Corners, NC",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012696-00-264x264.jpg
Used Fishman AXF CHORUS Effect Pedal,$79.99,"Overland Park, KS",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014231-00-264x264.jpg
Used TC Electronic Polytune Tuner Pedal,$57.99,"Overland Park, KS",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014230-00-264x264.jpg
Used BOSS GE7 Equalizer Pedal,$71.99,"Overland Park, KS",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014229-00-264x264.jpg
Used BOSS AC2 Acoustic Simulator Effect Pedal,$53.99,"Overland Park, KS",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014226-00-264x264.jpg
Used Strymon Lex Rotary Speaker Simulator Effect Pedal,$279.99,"Warwick, RI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024532-00-264x264.jpg
Used Fender Mustang LT25 25W 1x8 Guitar Combo Amp,$109.99,"Warwick, RI",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024530-00-264x264.jpg
Used VOX AC15C1 15W Tube Guitar Combo Amp,$469.99,"Austin, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014207-00-264x264.jpg
Used Donner TRIPLE LOOPER Pedal,$39.99,"Cary, NC",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121012678-00-264x264.jpg
Used EVH 5150 Iconic Series 15W 1x10 Tube Guitar Combo Amp B Tube Guitar Combo Amp,$429.99,"Cary, NC",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121012677-00-264x264.jpg
Used NUX MIGHTY SPACE Guitar Combo Amp,$314.99,"Houston, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014206-00-264x264.jpg
Used Fender Rumble V3 200W Bass Amp Head,$369.99,"Spartanburg, SC",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012674-00-264x264.jpg
Used Meon Shanky Jimi Effect Pedal,$39.99,"Scottsdale, AZ",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121007230-00-264x264.jpg
Used Seasonal Germanium Fuzz Pumpkin Spice Effect Pedal,$79.99,"Warwick, RI",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024528-00-264x264.jpg
Used Sundance Overdrive Effect Pedal,$99.99,"Warwick, RI",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024527-00-264x264.jpg
Used Tone Tuga Songbird Effect Pedal,$99.99,"Warwick, RI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024526-00-264x264.jpg
Used Tech N Tone Papa Boost Effect Pedal,$49.99,"Warwick, RI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024525-00-264x264.jpg
Used Hbe Power Screamer Effect Pedal,$119.99,"Warwick, RI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024524-00-264x264.jpg
Used BOSS BC2 British Combo Drive Effect Pedal,$84.99,"Warwick, RI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024523-00-264x264.jpg
Used Fuzz Imp Shroot II Effect Pedal,$79.99,"Warwick, RI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024522-00-264x264.jpg
Used Poison Noises The Crook Effect Pedal,$119.99,"Warwick, RI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024521-00-264x264.jpg
Used Way Huge Electronics WHE401 Swollen Pickle MKII Super Jumbo Fuzz Effect Pedal,$99.99,"Warwick, RI",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024520-00-264x264.jpg
Used MXR Carbon Copy Effect Pedal,$89.99,"Warwick, RI",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024518-00-264x264.jpg
Used LR Baggs voiceprint d.i. Pedal,$299.99,"Allentown, PA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121019050-00-264x264.jpg
Used Keeley VERB O TREM Effect Pedal,$89.99,"Birmingham, AL",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012653-00-264x264.jpg
Used MXR M290 Phase 95 Effect Pedal,$82.99,"Birmingham, AL",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012652-00-264x264.jpg
Used Keeley fuzz bender Effect Pedal,$94.99,"Birmingham, AL",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121012651-00-264x264.jpg
Used MXR M86 Classic Distortion Effect Pedal,$39.99,"Denton, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014176-00-264x264.jpg
Used Orange Amplifiers CR120H Crush Pro 120W Solid State Guitar Amp Head,$339.99,"Denton, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014174-00-264x264.jpg
