Title,Price,Store,Condition,Image
Used Epiphone Prophecy Les Paul Custom Plus Trans Black Solid Body Electric Guitar,$634.99,"Oklahoma City, OK",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014434-00-264x264.jpg
Used 2024 Fender PLAYER II TELECASTER HH Hialeah Yellow Solid Body Electric Guitar,$699.99,"Oklahoma City, OK",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014433-00-264x264.jpg
Used Ibanez RG517 BLUE SPARKLE Solid Body Electric Guitar,$749.99,"Oklahoma City, OK",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014432-00-264x264.jpg
Used Yamaha APX500II NATURAL Acoustic Electric Guitar,$199.99,"Jackson, MS",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121015384-00-264x264.jpg
Used Martin DRS1 Natural Acoustic Electric Guitar,$599.99,"Crestwood, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025529-00-264x264.jpg
Used Schecter Guitar Research SOLO II SUPREME SEE THRU BLUE BURST Solid Body Electric Guitar,"$1,019.99","Woodlands, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014417-00-264x264.jpg
Used Gibson Les Paul Studio BURBON BURST Solid Body Electric Guitar,$899.99,"Woodlands, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014416-00-264x264.jpg
Vintage 1989 Yamaha RGX612A White Solid Body Electric Guitar,$399.99,"Southington, CT",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121024727-00-264x264.jpg
Used Jackson JS32 Dinky NATURAL Solid Body Electric Guitar,$199.99,"Tyler, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014413-00-264x264.jpg
Used Squier Affinity Stratocaster 2 Color Sunburst Solid Body Electric Guitar,$84.99,"Tyler, TX",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121014412-00-264x264.jpg
Used Ibanez GRG120BDX Left Handed Black Electric Guitar,$119.99,"Central Houston, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014410-00-264x264.jpg
Used 2018 Xotic XSC-1 California Classic Fiesta Red Solid Body Electric Guitar,"$1,999.99","Nashville, TN",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121015373-00-264x264.jpg
Used Talman tcy10e Blue Acoustic Electric Guitar,$149.99,"Towson, MD",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121021493-00-264x264.jpg
Used Taylor GS Mini Mahogany Natural Acoustic Guitar,$499.99,"Warwick, RI",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024693-00-264x264.jpg
Used Ibanez GA-3 Natural Classical Acoustic Guitar,$79.99,"Danbury, CT",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121024691-00-264x264.jpg
Used Breedlove pursuit concert ce12st Natural 12 String Acoustic Electric Guitar,$399.99,"Nashville, TN",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121015369-00-264x264.jpg
Used Kepma GA3-130A-NM Natural Acoustic Guitar,$299.99,"Gwinnett, GA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121015367-00-264x264.jpg
Used Gibson SG Standard Cherry Solid Body Electric Guitar,"$1,299.99","Plano, TX",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121014386-00-264x264.jpg
Vintage 1979 Fender STRATOCASTER Antigua Solid Body Electric Guitar,"$2,499.99","Florence, KY",Fair,https://media.guitarcenter.com/is/image/MMGS7/000000121024683-00-264x264.jpg
Used Squier Affinity Stratocaster Candy Apple Red Solid Body Electric Guitar,$124.99,"Houston, TX",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121014385-00-264x264.jpg
Used Collings D2HA Natural Acoustic Guitar,"$6,799.99","Monroeville, PA",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121014378-00-264x264.jpg
Used ESP LTD EX-200 Black Solid Body Electric Guitar,$439.99,"South Springfield, MO",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121021479-00-264x264.jpg
Used EVH Wolfgang Standard Metallic Silver Solid Body Electric Guitar,$374.99,"Columbia, SC",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121025482-00-264x264.jpg
Used Martin Special D Classic Natural Acoustic Guitar,$749.99,"Boise, ID",Excellent,https://media.guitarcenter.com/is/image/MMGS7/000000121012842-00-264x264.jpg
Used Fender Player Plus Stratocaster Plus Top Blue Burst Solid Body Electric Guitar,$624.99,"Erie, PA",Great,https://media.guitarcenter.com/is/image/MMGS7/000000121003396-00-264x264.jpg
Used Washburn EA55GAU Tobacco Burst Acoustic Electric Guitar,$199.99,"Raleigh, NC",Good,https://media.guitarcenter.com/is/image/MMGS7/000000121024674-00-264x264.jpg
