Title,Price,Store,Condition
Used Takamine F-340S Natural Acoustic Guitar,$549.99,"New Braunfels, TX",Great
Used Sterling by Music Man JP150FM John Petrucci Signature ROYAL RED Solid Body Electric Guitar,$699.99,"South Austin, TX",Great
Used PRS SE Paul's Guitar Charcoal Solid Body Electric Guitar,$699.99,"Beaumont, TX",Great
Used Squier SONIC TELECASTER Blonde Solid Body Electric Guitar,$169.99,"Plano, TX",Great
Used 2016 Gibson SG Cherry Solid Body Electric Guitar,"$1,119.99","Totowa, NJ",Great
Used Ovation CS257 Celebrity NATURAL Acoustic Electric Guitar,$299.99,"Willowbrook, TX",Good
Used PRS SE Silver Sky STONE BLUE Solid Body Electric Guitar,$634.99,"Mcallen, TX",Excellent
Used Schecter Guitar Research Omen Extreme 6 Vintage Sunburst Solid Body Electric Guitar,$359.99,"Tulsa, OK",Great
Used Martin LX1E Natural Acoustic Electric Guitar,$349.99,"Johnson City, NY",Excellent
Used Starcaster by Fender Stratocaster Black and White Solid Body Electric Guitar,$109.99,"Lewisville, TX",Good
Used Squier Affinity Stratocaster Charcoal Frost Metallic Solid Body Electric Guitar,$169.99,"South Austin, TX",Great
Used Martin 000JR-10E STREETMASTER CUTAWAY Mahogany Acoustic Electric Guitar,$499.99,"Spartanburg, SC",Great
Used 2024 Gibson J45 Standard Vintage Sunburst Acoustic Electric Guitar,"$2,149.99","Spartanburg, SC",Good
Used Fender Acoustasonic Player Telecaster BRUSHED BLACK Acoustic Electric Guitar,$899.99,"Macon, GA",Excellent
Used Ibanez JEM70V Steve Vai Signature Seafoam Green Solid Body Electric Guitar,"$1,199.99","Southfield, MI",Excellent
Used Taylor 214CE Plus Natural Acoustic Electric Guitar,$949.99,"Springfield, NJ",Good
Used ESP LTD GHSV200 BLACK AND RED Solid Body Electric Guitar,$549.99,"Williston, VT",Great
Used Martin X Series Mahogany Acoustic Electric Guitar,$549.99,"Fayetteville, GA",Excellent
Used Epiphone Les Paul Standard Plus Pro TRANSLUCENT BLUE Solid Body Electric Guitar,$499.99,"Scranton, PA",Good
Used Schecter Guitar Research C1 Platinum Black Solid Body Electric Guitar,$479.99,"Winston-Salem, NC",Great
Used Fender American Professional II Stratocaster Miami Blue Solid Body Electric Guitar,"$1,299.99","Toledo, OH",Excellent
Used Fender Player Telecaster Capri Orange Solid Body Electric Guitar,$599.99,"Macon, GA",Good
Used Gretsch Guitars JIM DANDY DELTOLUXE BLACK Acoustic Electric Guitar,$199.99,"Macon, GA",Great
Used Gibson SG STANDARD 61 FADE Faded Cherry Solid Body Electric Guitar,"$1,699.99","Plano, TX",Great
Used Squier Affinity Stratocaster Sonic Blue Solid Body Electric Guitar,$204.99,"Lincoln, NE",Excellent
Used Gibson SG Autumn Shade Solid Body Electric Guitar,"$1,709.99","Atlantic City, NJ",Excellent
Used Epiphone Les Paul Black Beauty 3 Black Solid Body Electric Guitar,$649.99,"Atlantic City, NJ",Great
Used Ibanez AEG50N-BKH Black Classical Acoustic Electric Guitar,$269.99,"Boise, ID",Good
Used H.s. Anderson MADCAT REPLICA Amber Solid Body Electric Guitar,$429.99,"Totowa, NJ",Great
Used Squier Affinity Stratocaster HSS Lake Placid Blue Solid Body Electric Guitar,$199.99,"Central Houston, TX",Great
Used Tom Anderson Hollow Drop Top Sunburst Solid Body Electric Guitar,"$3,199.99","Jackson, MS",Excellent
Used Gibson Les Paul Modern Axcess Custom Black Solid Body Electric Guitar,"$3,499.99","Jackson, MS",Good
Used Peavey NOS HP2 Moon Burst Solid Body Electric Guitar,"$1,599.99","Williston, VT",Great
Used Washburn D30S Natural Acoustic Guitar,$299.99,"Hickory Corners, NC",Good
Used Fender American Professional II Stratocaster HSS DARK NIGHT Solid Body Electric Guitar,"$1,429.99","Danbury, CT",Great
Used Fender Standard Telecaster HH Natural Solid Body Electric Guitar,$699.99,"N. Olmsted, OH",Great
Used Jackson JS32 Randy Rhoads Floyd Rose Red Solid Body Electric Guitar,$249.99,"Lincoln, NE",Good
Used Taylor 314CE Left Handed Natural Acoustic Electric Guitar,$899.99,"Dayton, OH",Good
Used Schecter Guitar Research Omen Elite 7 Trans Red Solid Body Electric Guitar,$399.99,"Orange, CT",Great
Used Epiphone Les Paul Studio Wine Red Solid Body Electric Guitar,$299.99,"Athens, GA",Good
Vintage 1993 Gibson Les Paul Standard Black and Gold Solid Body Electric Guitar,"$2,199.99","Pittsburgh, PA",Good
Used Washburn WA90CE 2 Tone Sunburst Acoustic Electric Guitar,$104.99,"Warwick, RI",Good
Used 2023 Valerio Licari ALBAYZIN Natural Classical Acoustic Guitar,"$5,499.99","Lincoln, NE",Excellent
Used Fender American Vintage II 1977 Telecaster® Custom Trans Red Solid Body Electric Guitar,"$1,899.99","Nashville, TN",Excellent
Used Kramer STRIKER Purple Solid Body Electric Guitar,$244.99,"Florence, KY",Good
Used Dean EXHIBITION KOA Brown Acoustic Electric Guitar,$399.99,"Florence, KY",Great
Used Jackson RRX24M White Solid Body Electric Guitar,$679.99,"Florence, KY",Great
Used Fender American Acoustasonic Telecaster Brown Acoustic Electric Guitar,"$1,199.99","Florence, KY",Good
Used Schecter Guitar Research FRS HELLRAISER Red Solid Body Electric Guitar,$999.99,"Florence, KY",Great
Used Cordoba mini ii Natural Classical Acoustic Guitar,$129.99,"Overland Park, KS",Good
Used Ibanez A200E Natural Acoustic Electric Guitar,$279.99,"Overland Park, KS",Good
